onset	duration	Pair	Response	RT	Cond	Q_choice	Q_notchosen	eQdiff	Rv_diff	Beta_Q	alpha_gain	alpha_loss
88.5719	0.7506	eC	inCorrect	0.743	ww	0.6963	0.7612	-0.0649	10	4.505	0.017	0
93.0919	0.9842	bE	Correct	0.973	wl.u	0.6963	0.5332	0.1631	40	4.505	0.017	0
97.6119	0.6505	Ef	inCorrect	0.644	wl.l	0.633	0.6963	-0.0633	20	4.505	0.017	0
101.1319	1.5012	Ef	inCorrect	1.496	wl.l	0.633	0.6963	-0.0633	20	4.505	0.017	0
105.6519	1.151	eA	inCorrect	1.144	ww	0.6963	0.8278	-0.1315	20	4.505	0.017	0
113.1749	2.6188	eC	inCorrect	2.611	ww	0.6963	0.7612	-0.0649	10	4.505	0.017	0
116.7109	1.1843	Eb	Correct	1.177	wl.u	0.6963	0.5332	0.1631	40	4.505	0.017	0
121.2309	1.2843	bD	inCorrect	1.266	ll	0.5332	0.5932	-0.06	10	4.505	0.017	0
124.7839	1.1176	Ad	Correct	1.11	wl.u	0.8278	0.5932	0.2346	50	4.505	0.017	0
128.8209	1.0341	fE	Correct	1.029	wl.l	0.6963	0.633	0.0633	20	4.505	0.017	0
132.8579	0.7839	Ae	Correct	0.774	ww	0.8278	0.6963	0.1315	20	4.505	0.017	0
136.8939	0.7506	Ce	inCorrect	0.739	ww	0.6963	0.7612	-0.0649	10	4.505	0.017	0
140.9309	1.1009	dC	inCorrect	1.093	wl.l	0.5932	0.7612	-0.168	40	4.505	0.017	0
144.9669	0.7506	bA	Correct	0.748	wl.l	0.8278	0.5332	0.2946	60	4.505	0.017	0
149.9709	1.3844	Ae	Correct	1.373	ww	0.8278	0.6963	0.1315	20	4.505	0.017	0
153.4909	0.784	Cb	Correct	0.77	wl.u	0.7612	0.5332	0.228	50	4.505	0.017	0
157.0269	0.6338	Ed	inCorrect	0.623	wl.u	0.5932	0.6963	-0.1031	30	4.505	0.017	0
