onset	duration	Pair	Choice	Response	RT	Feedback_Onset	Feedback_duration	Balance	RPE	Q_chosen	Q_notchosen	npair	Beta_Q	alpha_gain	alpha_loss
592.9614	0.734	EF	E	Correct	0.726	594.446	0.517	-1	-0.8882	0.8882	0.5965	56	4.5775	0.0694	3e-04
604.7876	1.1009	AB	A	Correct	1.087	606.6391	0.5171	1	0.111	0.889	0.5659	12	4.5775	0.0694	3e-04
607.8067	0.7506	BA	A	Correct	0.744	609.3079	0.5171	1	0.1033	0.8967	0.5659	12	4.5775	0.0694	3e-04
611.3429	0.8841	DC	C	Correct	0.869	612.9776	0.517	1	0.1281	0.8719	0.6965	34	4.5775	0.0694	3e-04
616.3636	0.8174	DC	C	Correct	0.814	617.9316	0.517	1	0.1192	0.8808	0.6965	34	4.5775	0.0694	3e-04
620.3835	0.8174	CD	C	Correct	0.8	621.9515	0.517	1	0.1109	0.8891	0.6965	34	4.5775	0.0694	3e-04
624.9038	0.9842	CD	C	Correct	0.977	626.6386	0.5171	-1	-0.8968	0.8968	0.6965	34	4.5775	0.0694	3e-04
632.4266	0.9007	FE	F	Incorrect	0.898	634.0779	0.5171	-1	-0.5965	0.5965	0.8879	56	4.5775	0.0694	3e-04
640.9501	1.0008	BA	A	Correct	0.985	642.7015	0.5171	1	0.0961	0.9039	0.5659	12	4.5775	0.0694	3e-04
643.4855	0.7673	DC	C	Correct	0.752	645.0034	0.5171	1	0.1034	0.8966	0.6965	34	4.5775	0.0694	3e-04
648.5062	0.8507	FE	F	Incorrect	0.836	650.1075	0.5171	-1	-0.5963	0.5963	0.8879	56	4.5775	0.0694	3e-04
653.0265	1.1676	AB	A	Correct	1.155	654.9447	0.5171	-1	-0.9105	0.9105	0.5659	12	4.5775	0.0694	3e-04
656.546	0.834	AB	A	Correct	0.821	658.1306	0.5171	-1	-0.9103	0.9103	0.5659	12	4.5775	0.0694	3e-04
